2014-06-17 16:05:24,444 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: test:test:0.0.1-SNAPSHOT @ D:\park-ko\gosoft\test\pom.xml.
2014-06-17 16:32:13,903 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: web:web:0.0.1-SNAPSHOT @ D:\park-ko\gosoft\web\pom.xml.
2014-06-17 16:32:14,216 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-17 16:32:14,220 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-06-17 16:32:14,222 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-17 16:32:14,223 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-06-17 16:32:15,211 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: web:web:0.0.1-SNAPSHOT @ D:\park-ko\gosoft\web\pom.xml.
2014-06-17 16:32:15,475 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-17 16:32:15,479 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-06-17 16:32:15,482 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-17 16:32:15,482 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-06-17 16:32:28,368 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-17 16:32:28,370 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-06-17 16:32:28,373 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-06-17 16:32:28,374 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
